Date,High,Low,Open,Close,VOLUME,Adj Close
01.02.2010,55526.01,54492.35,54730.74,55526.01,1008482000,55526.01
02.02.2010,55653.46,54854.39,55615.84,55147.64,692974100,55147.64
03.02.2010,55734.66,54926.3,55390.85,55068.7,692318700,55068.7
04.02.2010,55018.64,53217.12,54797.31,53463.88,879803800,53463.88
05.02.2010,52996.52,51089.26,52968.34,51454.89,1297024000,51454.89
08.02.2010,51832.95,49432.48,51614.71,49933.38,765301600,49933.38
09.02.2010,51151.55,50132.44,50509.29,50826.36,653914500,50826.36
10.02.2010,51715.83,50314.1,51181.69,50567.5,731490600,50567.5
11.02.2010,51577.26,50628.27,51222.1,51381.04,613129200,51381.04
12.02.2010,52024.48,50702.37,51849.59,51063.82,571565100,51063.82
15.02.2010,51576.26,50959.01,50959.01,51334.42,529503400,51334.42
16.02.2010,52006.83,51210.54,51738.04,51748.5,489365600,51748.5
17.02.2010,53273.3,52227.71,52374.71,53273.3,756287000,53273.3
18.02.2010,52951.07,52085.1,52951.07,52449.8,561898200,52449.8
19.02.2010,53318.97,51298.22,51550.54,53318.97,632623400,53318.97
22.02.2010,54110.26,52326.81,53816.47,52592.88,560585100,52592.88
23.02.2010,53154.05,51180.88,52899.85,51416.56,506301200,51416.56
24.02.2010,51110.19,48691.32,50713.97,49659.56,732331200,49659.56
25.02.2010,50645.46,48080.16,49847.64,48739.43,801325600,48739.43
26.02.2010,50008.39,48447.32,49805.98,49705.49,589458800,49705.49
01.03.2010,51184.85,50151.32,50481.53,51183.73,645605200,51183.73
02.03.2010,51891.05,50847.25,51166.23,51476.11,572542500,51476.11
03.03.2010,51855.35,50913.81,51434.48,51699.06,519143200,51699.06
04.03.2010,51638.45,51056.25,51182.09,51440.71,489315600,51440.71
05.03.2010,52625.63,51459.58,51602.07,52625.63,570018700,52625.63
08.03.2010,53296.54,52528.74,53113.67,53296.54,566155500,53296.54
09.03.2010,53562.14,52193.32,53202.2,52959.96,529745600,52959.96
10.03.2010,52989.12,52135.1,52310.87,52753,430026200,52753
11.03.2010,52995.8,52036.49,52704.02,52376.55,408843000,52376.55
12.03.2010,52887.98,51962.16,52681.15,52232.99,358308900,52232.99
15.03.2010,52369.41,51780.85,52220.31,51971.37,312326000,51971.37
